GeoID,Geography,Time,Value,CI,Note,Indicator
4,Queens,2011,9.75,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2010,9.2,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2009,10.05,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2022,5.1788,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2021,6.152,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2020,5.54,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2019,5.92,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2018,6.4,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2017,6.81,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2016,6.84,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2015,7.69,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2014,8.41,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2013,7.98,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2012,8.35,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2011,9.44,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2010,8.8,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
5,Staten Island,2009,9.81,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
